,President Donald Trump,President Trump,Donald Trump,Donald,Trump,Vice President Joe Biden,Vice President Biden,Joe Biden,Joe,Biden,Vice President Mike Pence,Vice President Pence,Mike Pence,Mike,Pence,Senator Kamala Harris,Senator Harris,Kamala Harris,Kamala,Harris
B-BH,0,2.711226553,3.319819365,2.086684125,0.461349267,0,0,0.627126293,2.442914313,1.416118334,0,0,0,0,1.080685566,0,0,0.362076929,2.21371378,2.089141704
T-TP,3.737091078,5.124383045,1.452762403,10.18522983,8.231517689,0,0,4.391482825,0.915868079,3.999251005,0,0,0,0,4.630808451,0,0,4.435468436,1.140950752,2.446055505
B-T,0,16.8160575,3.852138913,1.866619112,12.52361446,0,0,6.437024909,1.675719501,3.677345471,0,0,0,0,2.548913398,0,0,2.270225279,3.154337781,1.085902322
B-TP,0,19.00705358,3.346742398,8.390583704,15.68178244,0,0,0.360341979,1.747073001,1.539792129,0,0,0,0,1.108006576,0,0,1.831295049,1.260513604,2.714011865
BH-T,10.89058396,41.90733748,1.066426008,0.506540532,30.59790247,0,0,10.4071943,1.437866049,9.508039994,0,0,0.392368792,1.903167838,3.32247163,0,0,4.294899352,2.561959518,2.258681239
BH-TP,12.11932588,32.97360183,1.786104764,9.960717672,22.64417132,0,0,0.786586328,0.449159662,0.875612456,0,0,0,0,2.910823006,0,0,2.718364795,0.29770637,1.72733064
B-E,0,8.177345632,2.949259461,0.874686096,8.166376234,0,0,0.451003888,13.06930002,8.73169901,0,0,0,0,3.0621616,0,0,0.224567177,1.332147312,1.08970925
BH-E,12.10201591,15.17899122,12.57519001,2.538669242,18.85467422,4.860995582,0,0.277684203,24.35552377,17.55758806,0,0,3.571726812,0.362575459,4.507783417,0,0,0.261665215,7.351727256,6.73334586
E-T,1.585557883,24.72370916,13.24667805,2.041263213,9.643066902,0,0,9.745700446,22.65827072,8.573662032,0,0,3.454582872,1.427875817,0.971842257,0,0,3.769176215,8.715202625,4.243514572
E-TP,2.882420558,18.79159016,5.542002549,11.23611437,12.41203478,0,0,0.680351336,10.91801543,7.232280892,0,0,0,0,5.285365798,0,0,2.500834087,2.771776426,4.169911038
