,President Donald Trump,President Trump,Donald Trump,Donald,Trump,Vice President Joe Biden,Vice President Biden,Joe Biden,Joe,Biden,Vice President Mike Pence,Vice President Pence,Mike Pence,Mike,Pence,Senator Kamala Harris,Senator Harris,Kamala Harris,Kamala,Harris
0-1,0,2.711226552909512,3.3198193650687937,2.086684125169858,0.46134926675390503,0,0,0.6271262925621114,2.442914312634365,1.4161183343920993,0,0,0,0,1.080685565553891,0,0,0.36207692945002956,2.2137137796868798,2.089141704484434,
0-2,0,8.177345632012539,2.9492594611996505,0.8746860964548977,8.166376234254885,0,0,0.45100388780476885,13.069300017757165,8.731699009527231,0,0,0,0,3.06216160014762,0,0,0.2245671772203649,1.3321473124602676,1.089709249613347,
0-3,0,16.81605750270256,3.8521389131009682,1.866619111691344,12.5236144558895,0,0,6.437024908890258,1.6757195007333887,3.6773454713442715,0,0,0,0,2.5489133984272248,0,0,2.270225279066417,3.1543377811783495,1.085902322183023,
0-4,0,19.007053584314605,3.3467423977758513,8.390583703883445,15.681782438377622,0,0,0.3603419792774422,1.7470730008323263,1.5397921292584733,0,0,0,0,1.1080065755348976,0,0,1.8312950488433273,1.260513604259337,2.7140118654651033,
1-2,12.102015908980999,15.178991221006509,12.57519000679169,2.5386692418727326,18.854674223934918,4.8609955822976385,0,0.27768420313168424,24.35552376569888,17.55758805844405,0,0,3.571726812403562,0.36257545944616637,4.507783416533455,0,0,0.26166521546349575,7.351727255507932,6.733345860007631,
1-3,10.890583955682382,41.90733748311529,1.0664260078918255,0.5065405319717212,30.59790246957786,0,0,10.407194301596002,1.4378660486021957,9.508039994245268,0,0,0.392368791553287,1.9031678383534252,3.3224716296812518,0,0,4.294899351782082,2.5619595179741115,2.2586812394387943,
1-4,12.119325882144702,32.97360183098465,1.7861047636009642,9.960717672483485,22.64417132075841,0,0,0.7865863277379466,0.44915966212648173,0.8756124558692558,0,0,0,0,2.9108230062450104,0,0,2.7183647950294856,0.2977063701676172,1.727330639699095,
2-3,1.5855578832215769,24.72370915813572,13.246678049903243,2.0412632134603865,9.643066902094473,0,0,9.74570044609475,22.658270719516814,8.573662032127052,0,0,3.4545828723443193,1.4278758169885999,0.9718422568171443,0,0,3.769176214787578,8.715202625256866,4.243514572212863,
2-4,2.8824205582341627,18.791590158346914,5.5420025488882185,11.236114365519814,12.412034782066767,0,0,0.6803513359293447,10.918015427144878,7.232280892245556,0,0,0,0,5.2853657980868025,0,0,2.500834086508923,2.7717764264394016,4.16991103764385,
3-4,3.7370910784919626,5.124383045398629,1.452762402729746,10.185229831543515,8.231517689043107,0,0,4.3914828247881905,0.9158680793225734,3.9992510049980337,0,0,0,0,4.630808450619118,0,0,4.4354684356009315,1.1409507524449334,2.4460555047038466,
